rank,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5
1,group,sustainability,sustainability,financial,group,power
2,gas,safety,emissions,group,csr,group
3,safety,product,safety,board,japan,fiscal
4,sustainability,india,program,assets,fy,electric
5,project,organization,waste,million,fiscal,sales
6,projects,stakeholders,customers,income,companies,production
7,production,customer,data,risk,safety,plant
8,oil,governance,world,statements,human,safety
9,construction,waste,reporting,shares,society,net
10,consumption,committee,group,cash,customers,consolidated
11,emissions,process,suppliers,share,emissions,term
12,strategy,economic,help,directors,compliance,march
13,service,en,communities,net,initiatives,income
14,electricity,human,product,tax,issues,systems
15,companies,suppliers,industry,liabilities,product,materials
16,reporting,green,approach,capital,waste,gas
17,indicators,risk,process,non,measures,building
18,power,material,page,equity,aeon,siemens
19,economic,reporting,engagement,executive,policy,fuel
20,waste,project,governance,committee,data,ing
21,international,service,million,fair,efforts,long
22,level,issues,practices,market,materials,chemical
23,data,ricoh,compliance,december,sales,billion
24,area,growth,risk,consolidated,rights,construction
25,million,education,programs,current,production,plan
26,board,level,gri,profit,chemical,million
27,public,policy,percent,rate,overseas,technology
28,stakeholders,compliance,carbon,loss,established,yen
29,financial,technology,issues,operating,reduction,operating
30,en,rights,responsible,bank,customer,control
31,network,various,economic,period,power,schneider
32,customers,csr,commitment,investment,committee,waste
33,vodafone,non,chain,shareholders,related,air
34,risk,plant,team,eur,recycling,increase
35,order,labor,com,term,systems,growth
36,process,board,standards,date,risk,equipment
37,natural,related,opportunities,companies,promote,companies
38,suppliers,limited,care,cost,continue,reduction
39,market,communication,policy,audit,plan,stock
40,measures,industry,consumption,note,promotion,technologies
41,plan,practices,human,limited,substances,assets
42,main,consumption,building,statement,results,manufacturing
43,results,supply,best,costs,life,emissions
44,code,internal,project,balance,office,market
45,internal,customers,food,risks,order,industry
46,principles,production,supply,related,basic,cost
47,compliance,power,climate,asset,internal,plants
48,policy,regulations,paper,march,promoting,customers
49,mobile,emissions,strategy,meeting,hitachi,iino
50,human,directors,diversity,investments,procurement,demand
